2021-05-27 10:34:20,033 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :191
2021-05-27 10:34:20,033 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:TMP:0 :112
2021-05-27 10:34:20,041 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 10:35:20,045 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 10:36:20,049 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 10:37:20,048 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 10:38:20,049 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 10:39:20,051 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 10:40:20,055 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 10:41:20,049 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVL1:1 :105
2021-05-27 10:41:20,050 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :110
